# pano poses v1.0: ID; filename; timestamp; pano_pos_x; pano_pos_y; pano_pos_z; pano_ori_w; pano_ori_x; pano_ori_y; pano_ori_z
47; 00047-pano.jpg; 1750970420.647156; 324539.657801; 827115.243989; 17.120301; 0.638178; 0.131483; -0.116060; 0.749647
48; 00048-pano.jpg; 1750970425.880399; 324538.443615; 827119.754339; 16.888033; 0.333700; -0.184281; 0.046605; 0.923316
49; 00049-pano.jpg; 1750970430.953666; 324538.139381; 827124.662142; 17.239942; 0.630999; 0.119342; -0.095374; 0.760593
50; 00050-pano.jpg; 1750970438.744195; 324536.706217; 827132.576355; 17.227056; 0.603951; 0.080971; -0.063415; 0.790358
51; 00051-pano.jpg; 1750970446.787681; 324535.093247; 827140.976876; 16.944149; 0.709725; 0.099289; -0.037982; 0.696412
52; 00052-pano.jpg; 1750970454.877756; 324527.099272; 827141.057496; 17.039293; -0.133114; 0.157142; -0.011762; 0.978493
53; 00053-pano.jpg; 1750970464.652841; 324519.467930; 827138.871369; 16.895583; -0.375524; 0.125412; 0.044631; 0.917203
54; 00054-pano.jpg; 1750970474.673631; 324515.880770; 827132.023471; 16.908760; -0.334057; 0.081972; 0.027442; 0.938581
55; 00055-pano.jpg; 1750970497.016509; 324533.899927; 827146.541513; 16.777977; 0.627105; 0.104599; -0.134124; 0.760138
56; 00056-pano.jpg; 1750970504.400144; 324532.136175; 827154.275179; 16.666490; 0.636217; 0.097434; -0.124534; 0.755133
57; 00057-pano.jpg; 1750970511.528268; 324530.644240; 827161.377365; 16.617123; 0.533632; 0.153983; -0.077218; 0.827988
58; 00058-pano.jpg; 1750970544.580288; 324532.335227; 827175.678259; 17.329065; 0.720576; 0.035188; -0.042416; -0.691182
